UR	SR	humanSubj Freq	"AGREE(back,nonlocal)"	"AGREE(front,local)"	"AGREE(nonhigh_front,local)"	"AGREE(low_front,local)"	"AGREE(double_front,local)"	USE_FRONT/bilabial__	"USE_FRONT/[+cor,+son]__"	USE_FRONT/sibilant__	USE_FRONT/CC__	USE_BACK/[C0i:C0]__	Observed Probability p(SR|UR)	t=1.5 Predicted Probability	t=1.5 Error	t=1 Predicted Probability	t=1 Error
Átúngyér	Átúngyérnek	0	1	0	0	0	0	0	0	0	0	0	0	0.315758481	0.315758481	0.238667285	0.238667285
fiz	fiznak	0	0	1	0	0	0	0	0	1	0	0	0	0.150161706	0.150161706	0.06913842	0.06913842
fiz	fiznek	1	0	0	0	0	0	0	0	0	0	0	1	0.849838294	-0.150161706	0.93086158	-0.06913842
Csit	Csitnak	0	0	1	0	0	0	0	0	0	0	0	0	0.24477678	0.24477678	0.15577584	0.15577584
Csit	Csitnek	1	0	0	0	0	0	0	0	0	0	0	1	0.75522322	-0.24477678	0.84422416	-0.15577584
hipt	hiptnak	0	0	1	0	0	0	0	0	0	1	0	0	0.092792953	0.092792953	0.031676228	0.031676228
hipt	hiptnek	1	0	0	0	0	0	0	0	0	0	0	1	0.907207047	-0.092792953	0.968323772	-0.031676228
fómill	fómillnak	1	0	1	0	0	0	0	1	0	1	0	1	0.644129601	-0.355870399	0.708890173	-0.291109827
fómill	fómillnek	0	1	0	0	0	0	0	0	0	0	0	0	0.355870399	0.355870399	0.291109827	0.291109827
ís	ísnak	0	0	1	0	0	0	0	0	1	0	0	0	0.235017974	0.235017974	0.227560554	0.227560554
ís	ísnek	1	0	0	0	0	0	0	0	0	0	1	0.5	0.264982026	-0.235017974	0.272439446	-0.227560554
Páde	Pádenak	1	0	1	1	1	0	0	0	0	0	0	1	0.375975261	-0.624024739	0.318646266	-0.681353734
Páde	Pádenek	0	1	0	0	0	0	0	0	0	0	0	0	0.624024739	0.624024739	0.681353734	0.681353734
Orim	Orimnak	1	0	1	0	0	0	1	0	0	0	0	1	0.697059284	-0.302940716	0.777299861	-0.222700139
Orim	Orimnek	0	1	0	0	0	0	0	0	0	0	0	0	0.302940716	0.302940716	0.222700139	0.222700139
Trússakens	Trússakensnak	0	0	1	1	1	0	0	0	1	1	0	0	0.093921496	0.093921496	0.032295465	0.032295465
Trússakens	Trússakensnek	1	1	0	0	0	0	0	0	0	0	0	1	0.906078504	-0.093921496	0.967704535	-0.032295465
Havasmem	Havasmemnak	0	0	1	1	1	0	1	0	0	0	0	0	0.10526939	0.10526939	0.038791134	0.038791134
Havasmem	Havasmemnek	1	1	0	0	0	0	0	0	0	0	0	1	0.89473061	-0.10526939	0.961208866	-0.038791134
forórest	forórestnak	0	0	1	1	1	0	0	0	0	1	0	0	0.159761997	0.159761997	0.076562197	0.076562197
forórest	forórestnek	1	1	0	0	0	0	0	0	0	0	0	1	0.840238003	-0.159761997	0.923437803	-0.076562197
érp	érpnak	0	0	1	1	0	0	1	0	0	1	0	0	0.007490012	0.007490012	0.000655144	0.000655144
érp	érpnek	1	0	0	0	0	0	0	0	0	0	0	1	0.992509988	-0.007490012	0.999344856	-0.000655144
kálensel	kálenselnak	0	0	1	1	1	1	0	1	0	0	0	0	0.019455085	0.019455085	0.002786996	0.002786996
kálensel	kálenselnek	1	1	0	0	0	0	0	0	0	0	0	1	0.980544915	-0.019455085	0.997213004	-0.002786996
Jasesztjig	Jasesztjignak	0	0	1	0	0	1	0	0	0	0	0	0	0.443574711	0.443574711	0.415809477	0.415809477
Jasesztjig	Jasesztjignek	1	1	0	0	0	0	0	0	0	0	0	1	0.556425289	-0.443574711	0.584190523	-0.415809477
Szángíszt	Szángísztnak	0	0	1	0	0	0	0	0	0	1	0	0	0.788070409	0.788070409	0.877611113	0.877611113
Szángíszt	Szángísztnek	1	1	0	0	0	0	0	0	0	0	0	1	0.211929591	-0.788070409	0.122388887	-0.877611113
csoill	csoillnak	1	0	1	0	0	0	0	1	0	1	0	1	0.644129601	-0.355870399	0.708890173	-0.291109827
csoill	csoillnek	0	1	0	0	0	0	0	0	0	0	0	0	0.355870399	0.355870399	0.291109827	0.291109827
vosen	vosennak	0	0	1	1	1	0	0	1	0	0	0	0	0.226765369	0.226765369	0.137051293	0.137051293
vosen	vosennek	1	1	0	0	0	0	0	0	0	0	0	1	0.773234631	-0.226765369	0.862948707	-0.137051293
Kéb	Kébnak	0	0	1	1	0	0	1	0	0	0	0	0	0.023354516	0.023354516	0.00368424	0.00368424
Kéb	Kébnek	1	0	0	0	0	0	0	0	0	0	0	1	0.976645484	-0.023354516	0.99631576	-0.00368424
sorgens	sorgensnak	0	0	1	1	1	0	0	0	1	1	0	0	0.093921496	0.093921496	0.032295465	0.032295465
sorgens	sorgensnek	1	1	0	0	0	0	0	0	0	0	0	1	0.906078504	-0.093921496	0.967704535	-0.032295465
Rozeleg	Rozelegnak	0	0	1	1	1	1	0	0	0	0	0	0	0.039165723	0.039165723	0.008162571	0.008162571
Rozeleg	Rozelegnek	1	1	0	0	0	0	0	0	0	0	0	1	0.960834277	-0.039165723	0.991837429	-0.008162571
nyokárik	nyokáriknak	1	0	1	0	0	0	0	0	0	0	0	1	0.921771741	-0.078228259	0.975872979	-0.024127021
nyokárik	nyokáriknek	0	1	0	0	0	0	0	0	0	0	0	0	0.078228259	0.078228259	0.024127021	0.024127021
fer	fernak	0	0	1	1	1	0	0	1	0	0	0	0	0.004001117	0.004001117	0.000361998	0.000361998
fer	fernek	1	0	0	0	0	0	0	0	0	0	0	0.5	0.495998883	-0.004001117	0.499638002	-0.000361998
avizís	avizísnak	0	0	1	0	0	1	0	0	1	0	0	0	0.302940716	0.302940716	0.222700139	0.222700139
avizís	avizísnek	1	1	0	0	0	0	0	0	0	0	0	1	0.697059284	-0.302940716	0.777299861	-0.222700139
mép	mépnak	0	0	1	1	0	0	1	0	0	0	0	0	0.023354516	0.023354516	0.00368424	0.00368424
mép	mépnek	1	0	0	0	0	0	0	0	0	0	0	1	0.976645484	-0.023354516	0.99631576	-0.00368424
